link,drugname
2537/,camphor
2541/,candesartan
13789/,canrenone
60953/,capecitabine
2548/,capsaicin
2550/,captopril
2551/,carbachol
2554/,carbamazepine
2561/,carbenoxolone
71715/,carbetocin
2569/,carboquone
2583/,carteolol
2585/,carvedilol
2662/,celecoxib
2676/,cerivastatin
2678/,cetirizine
2707/,chloral hydrate
2712/,chlordiazepoxide
10783/,chlormethiazole
5977/,chlorobutanol
6212/,chloroform
25295/,chloropyramine
2720/,chlorothiazide
2725/,chlorpheniramine
2726/,chlorpromazine
2732/,chlorthalidone
2733/,chlorzoxazone
2747/,cibenzoline
444033/,ciclesonide
54910/,cicletanine
2751/,cilazapril
2752/,cilnidipine
2756/,cimetidine
2761/,cinnarizine
2763/,ciprofibrate
2769/,cisapride
2780/,clebopride
2781/,clemastine
2783/,clenbuterol
2796/,clofibrate
2800/,clomiphene citrate
2801/,clomipramine
2802/,clonazepam
2803/,clonidine
2806/,clopidogrel
68876/,cloricromene
2818/,clozapine
2826/,cocaine
2828/,codeine
2832/,colcemid
2833/,colchicine
160051/,colesevelam hydrochloride
66249/,cortivazol
2910/,cyclothiazide
2913/,cyproheptadine
6058/,cysteamine
596/,cytosine arabinoside
1210/,d-tubocurarine
5281007/,dacarbazine
2949/,danazol
2951/,dantrolene
2958/,daunorubicin
2965/,debrisoquine
469186/,deferiprone
26709/,deflazacort
2976/,delapril
2978/,delta 9-tetrahydrocannabinol
55362/,deoxyspergualin
2973/,desferrioxamine
2995/,desipramine
124087/,desloratadine
40973/,desogestrel
21847/,dexetimide
30623/,dexrazoxane
3008/,dextromethorphan
26248/,diacerein
3016/,diazepam
3019/,diazoxide
3025/,dibucaine
2460/,dibutyryl cyclic AMP
3038/,dichlorphenamide
3032/,diclofenac
3042/,dicyclomine
3054/,diethylstilbestrol
3059/,diflunisal
3061/,digitoxin
3062/,digoxin
3063/,dihydrocodeine
3066/,dihydroergotamine
6181/,diiodotyrosine
5936/,diisopropylfluorophosphate
3074/,dilazep
3075/,diltiazem
21855/,dimethindene
5281612/,diosmetin
6138/,dipalmitoylphosphatidylcholine
3100/,diphenhydramine
3108/,dipyridamole
3110/,dipyrone
3114/,disopyramide
3116/,distigmine bromide
3117/,disulfiram
10187/,dithranol
36811/,dobutamine
3143/,docetaxel
71329/,dofetilide
3148/,dolasetron
3151/,domperidone
3152/,donepezil
55483/,dopexamine
3157/,doxazosin
3158/,doxepin
3168/,droperidol
3181/,dydrogesterone
3182/,dyphylline
3191/,ebastine
10548/,echothiophate
77993/,eletriptan
48041/,encainide
3226/,enflurane
3231/,enprostil
4659568/,entacapone
5032/,ephedrine
3241/,epinastine
150310/,eplerenone
115056/,epomediol
60879/,eprosartan
5311082/,eptifibatide
65632/,erdosteine
4210613/,ergometrine
3251/,ergotamine
18140/,estramustine
3285/,estrogen
3278/,ethacrynic acid
3290/,ethopropazine
3291/,ethosuximide
3303/,ethylmorphine
3308/,etodolac
65777/,etofibrate
36339/,etomidate
3310/,etoposide
123619/,etoricoxib
3312/,etretinate
11954269/,everolimus
60198/,exemestane
150311/,ezetimibe
3325/,famotidine
3547/,fasudil
3331/,felbamate
3333/,felodipine
3336/,fendiline
3339/,fenofibrate
3340/,fenoldopam
3342/,fenoprofen
3343/,fenoterol
3344/,fenspiride
3345/,fentanyl
5478817/,ferrous fumarate
3348/,fexofenadine
3350/,finasteride
3355/,flecainide
3367/,fludarabine
31378/,fludrocortisone
3371/,flufenamic acid
3377/,flunarizine
3379/,flunisolide
3380/,flunitrazepam
3381/,fluocinolone acetonide
3386/,fluoxetine
3387/,fluoxymesterone
17012/,flupenthixol
3372/,fluphenazine
53276/,flupirtine
3393/,flurazepam
3394/,flurbiprofen
3396/,fluspirilene
3397/,flutamide
3399/,fluticasone propionate
3403/,fluvastatin
3404/,fluvoxamine
163742/,fondaparinux sodium
3419/,fosinopril
104799/,fotemustine
104741/,fulvestrant
723/,fumarate
3440/,furosemide
3446/,gabapentin
3449/,galantamine
67425/,gallamine
3453/,gamma-linolenic acid
123631/,gefitinib
3461/,gemcitabine
3463/,gemfibrozil
55191/,gepirone
27812/,gestrinone
3488/,glibenclamide
3475/,gliclazide
3476/,glimepiride
3478/,glipizide
610/,glucuronic acid
823/,glycerophosphocholine
3494/,glycopyrrolate
3230/,glycyrrhetinic acid
11954225/,gold sodium thiomalate
6104/,gold thioglucose
3510/,granisetron
3518/,guanethidine
3519/,guanfacine
9567831/,guanoxabenz
3559/,haloperidol
3562/,halothane
3592/,heroin
3608/,hexobarbital
3609/,hexoprenaline
3623/,homatropine
3637/,hydralazine
3639/,hydrochlorothiazide
411697/,hydrocodone
3648/,hydromorphone
4479097/,hydroxocobalamin
3657/,hydroxyurea
3658/,hydroxyzine
68555/,ibopamine
3672/,ibuprofen
3685/,idarubicin
3686/,idebenone
3689/,ifenprodil
3690/,ifosfamide
5311181/,iloprost
5291/,imatinib
3693/,imidapril
3696/,imipramine
57469/,imiquimod
3702/,indapamide
44562/,indobufen
3715/,indomethacin
3718/,indoprofen
33625/,indoramin
3739/,iodipamide
3730/,iohexol
3735/,iopanoic acid
56016/,iopentol
2140/,iothalamate
3743/,ioxilan
3746/,ipratropium bromide
19063/,iproclozide
3748/,iproniazid
3749/,irbesartan
3750/,irinotecan
3759/,isocarboxazid
3763/,isoflurane
3779/,isoproterenol
3784/,isradipine
3821/,ketamine
3822/,ketanserin
3825/,ketoprofen
3826/,ketorolac
3827/,ketotifen
3869/,labetalol
68733/,lacidipine
3873/,lafutidine
3878/,lamotrigine
365716/,lanreotide
3883/,lansoprazole
3890/,latanoprost
3902/,letrozole
143/,leucovorin
3915/,levocabastine
836/,levodopa
3916/,levomepromazine
60867/,levosimendan
3676/,lidocaine
3932/,linopirdine
3938/,lisuride
30668/,lofexidine
2475/,looser
3954/,loperamide
3957/,loratadine
3958/,lorazepam
5282204/,lornoxicam
3961/,losartan
3962/,lovastatin
3964/,loxapine
151166/,lumiracoxib
5857/,lynestrenol
4008/,manidipine
4011/,maprotiline
4020/,mazindol
4032/,mecamylamine
4036/,meclofenamate
10631/,medroxyprogesterone
4044/,mefenamic acid
183797/,melagatran
4052/,meloxicam
15387/,melperone
4053/,melphalan
4054/,memantine
4058/,meperidine
4060/,mephenytoin
4992/,mepyramine
4066/,mequitazine
667490/,mercaptopurine
10294/,mersalyl
4078/,mesoridazine
4086/,metaproterenol
4087/,metaraminol
4090/,metergoline
4091/,metformin
28397/,methadol
4095/,methadone
1206/,methamphetamine
4100/,methazolamide
1349907/,methimazole
9034/,methohexital
4112/,methotrexate
6082/,methoxamine
4116/,methoxyflurane
4138/,methyldopa
4158/,methylphenidate
4159/,methylprednisolone
4120/,methylscopolamine
4160/,methyltestosterone
4163/,methysergide
31477/,metipranolol
4168/,metoclopramide
4171/,metoprolol
4174/,metyrapone
4178/,mexiletine
4184/,mianserin
60663/,mibefradil
4192/,midazolam
4195/,midodrine
4196/,mifepristone
51577/,miglitol
65833/,milnacipran
4197/,milrinone
3599/,miltefosine
4199/,minaprine
4201/,minoxidil
4205/,mirtazapine
4183806/,misoprostol
29051/,mithramycin
5746/,mitomycin C
4212/,mitoxantrone
65906/,mizolastine
4235/,moclobemide
4236/,modafinil
91270/,moexipril
23897/,molindone
123620/,mometasone
4034/,monamine
5311297/,montelukast
4253/,morphine
4257/,mosapramine
66408/,moxestrol
4810/,moxonidine
39860/,nabilone
4409/,nabumetone
4411/,nadolol
4419/,nalbuphine
4428/,naltrexone
4436/,naphazoline
1302/,naproxen
4440/,naratriptan
71301/,nebivolol
50294/,nedocromil sodium
4449/,nefazodone
4456/,neostigmine
4472/,nialamide
71919/,niaprazine
4475/,nicergoline
4476/,niceritrol
47528/,nicorandil
942/,nicotine
4485/,nifedipine
4488/,niflumic acid
4493/,nilutamide
4494/,nilvadipine
4495/,nimesulide
4497/,nimodipine
4499/,nisoldipine
115355/,nitisinone
4507/,nitrendipine
4510/,nitroglycerin
4513/,nizatidine
68783/,nomegestrol
4528/,nomifensine
4534/,nordihydroguaiaretic acid
4536/,norethisterone
4543/,nortriptyline
4581/,octopamine
21630/,octyl methoxycinnamate
4585/,olanzapine
60865/,olopatadine
4595/,ondansetron
4599/,orlistat
4601/,orphenadrine
4605/,ouabain
5878/,oxandrolone
4614/,oxaprozin
6257/,oxazolidinone
34312/,oxcarbazepine
4634/,oxybutynin
4635/,oxycodone
4636/,oxymetazoline
4641/,oxyphenbutazone
4642/,oxyphencyclimine
5749/,oxyphenonium
4677/,pantethine
4679/,pantoprazole
4680/,papaverine
9395/,paraoxon
4688/,pargyline
4691/,paroxetine
60843/,pemetrexed
33630/,penfluridol
4736/,pentazocine
4737/,pentobarbital
4740/,pentoxifylline
5917/,pentylenetetrazol
4744/,perazine
4745/,pergolide
4746/,perhexiline
60184/,perindopril
4748/,perphenazine
4754/,phenacetin
71472/,phenamine
14707/,phenazocine
3675/,phenelzine
11291/,phenindamine
4761/,pheniramine
4763/,phenobarbital
4766/,phenol red
4768/,phenoxybenzamine
9908/,phenprocoumon
4771/,phentermine
5775/,phentolamine
4781/,phenylbutazone
4782/,phenylephrine
4786/,phenylpropanolamine
1775/,phenytoin
587/,phosphocreatine
4811/,physostigmine
657319/,picotamide
4819/,pilocarpine
16362/,pimozide
4826/,pinacidil
40704/,pinaverium bromide
4828/,pindolol
4829/,pioglitazone
50191/,pipecuronium
4844/,pirarubicin
4845/,pirbuterol
4848/,pirenzepine
4856/,piroxicam
27400/,pizotifen
32744/,polyinosinic-polycytidylic acid
4883/,practolol
4885/,pramipexole
4887/,pranlukast
4889/,pravastatin
4893/,prazosin
4894/,prednisolone
4900/,prednisone
42396/,prenalterol
9801/,prenylamine
4911/,probenecid
4912/,probucol
4913/,procainamide
4914/,procaine
4916/,procaterol
4917/,prochlorperazine
4919/,procyclidine
5361323/,progabide
4922/,proglumide
4926/,promazine
36709/,promegestone
4927/,promethazine
4932/,propafenone
15004/,propanidid
4934/,propantheline
4938/,propentofylline
4943/,propofol
10100/,propoxyphene
4946/,propranolol
657298/,propylthiouracil
4991/,pyridostigmine
5002/,quetiapine
55645/,quinagolide
5005/,quinapril
5029/,rabeprazole
5035/,raloxifene
5038/,ramipril
5039/,ranitidine
5040/,rapamycin
65856/,reboxetine
60815/,remifentanil
5230731/,remikiren
51768/,remoxipride
4547/,repaglinide
5052/,reserpine
2196/,reset
68712/,rilmenidine
5070/,riluzole
5245/,risedronate
5073/,risperidone
31729/,ritodrine
5077/,rivastigmine
5090/,rofecoxib
5095/,ropinirole
71273/,ropivacaine
25474/,rose bengal
77999/,rosiglitazone
4475485/,rosuvastatin
91276/,roxatidine
2083/,salbutamol
338/,salicylate
5152/,salmeterol
5184/,scopolamine
5193/,secobarbital
10715/,sedormid
5195/,selegiline
60149/,sertindole
5203/,sertraline
5206/,sevoflurane
5210/,sibutramine
5212/,sildenafil
5213/,silymarin
54454/,simvastatin
5253/,sotalol
3966/,sparteine
91736/,spirapril
5267/,spironolactone
5277/,stanozolol
5300/,streptozotocin
5314/,succinylcholine
41693/,sufentanil
5353980/,sulfasalazine
5342/,sulfinpyrazone
5345/,sulfobromophthalein
5352/,sulindac
5355/,sulpiride
5312153/,sulprostone
5358/,sumatriptan
5359/,suprofen
7172/,synephrine
5530/,tPA
5372/,tacrolimus
110635/,tadalafil
68770/,talinolol
5376/,tamoxifen
60147/,tamsulosin
5381/,tazarotene
5386/,tegafur
5487301/,tegaserod
65999/,telmisartan
5393/,temocapril
5394/,temozolomide
60712/,tenidap
5396/,teniposide
5397/,tenoxicam
5401/,terazosin
5403/,terbutaline
5405/,terfenadine
72081/,terlipressin
36920/,tertatolol
6018/,tetrabenazine
5411/,tetracaine
5426/,thalidomide
5429/,theobromine
2723601/,thioguanine
5452/,thioridazine
5454/,thiothixene
23403/,tiadenol
5466/,tiagabine
5467/,tiapride
5468/,tiaprofenic acid
100788/,tiazofurin
5470/,tibolone
5472/,ticlopidine
38409/,tienilic acid
5478/,timolol
60831/,tiotropium
5486/,tirofiban
5487/,tizanidine
5504/,tolazoline
5505/,tolbutamide
4659569/,tolcapone
5507/,tolfenamic acid
5508/,tolmetin
34521/,toloxatone
5512/,tolterodine
5514/,topiramate
5515/,topotecan
41781/,torasemide
5516/,toremifene
5523/,tramadol
5524/,tramazoline
5525/,trandolapril
5526/,tranexamic acid
5531/,trapidil
5533/,trazodone
5544/,triamcinolone
5556/,triazolam
5566/,trifluoperazine
5568/,triflupromazine
9458/,triflusal
5572/,trihexyphenidyl
5573/,trimebutine
5574/,trimeprazine
21109/,trimetazidine
23576/,trimethaphan
5581/,trimetoquinol
5584/,trimipramine
5587/,tripelennamine
5588/,triprolidine
72145/,tritoqualine
5591/,troglitazone
11047/,tromexan
5593/,tropicamide
5595/,tropisetron
5596/,trospium chloride
5636/,unoprostone
5639/,urapidil
119607/,valdecoxib
3121/,valproic acid
5650/,valsartan
5656/,venlafaxine
2520/,verapamil
5665/,vigabatrin
13342/,vinblastine
5978/,vincristine
5672/,vinorelbine
5677/,voglibose
6691/,warfarin
155774/,xamoterol
9574101/,ximelagatran
2866/,yohimbine
5717/,zafirlukast
5719/,zaleplon
60854/,ziprasidone
92400/,zofenopril
68740/,zoledronic acid
5731/,zolmitriptan
5732/,zolpidem
5733/,zomepirac
5734/,zonisamide
5736/,zotepine
